Summary,Issue Type,Project Key,Description,Epic Name,Epic Link,Parent,Priority,Status,Labels,Due Date,Assignee,Story Points
Cloud Migration Initiative,Epic,EPT,"Owner: Sarah Johnson
Status: In Progress
Completion: 65.0%
Start Date: 2025-09-11
Deadline: 2025-12-10

Migrate legacy systems to cloud infrastructure",Cloud Migration Initiative,,,Medium,In Progress,"project-tracker,in-progress",2025-12-10,,
Mobile App Development,Epic,EPT,"Owner: Michael Chen
Status: In Progress
Completion: 80.0%
Start Date: 2025-09-26
Deadline: 2025-11-25

Build iOS and Android mobile applications",Mobile App Development,,,High,In Progress,"project-tracker,in-progress,high-completion",2025-11-25,,
Data Analytics Platform,Epic,EPT,"Owner: Emily Rodriguez
Status: In Progress
Completion: 40.0%
Start Date: 2025-10-11
Deadline: 2026-01-09

Develop analytics dashboard for business intelligence",Data Analytics Platform,,,Medium,In Progress,"project-tracker,in-progress",2026-01-09,,
Security Audit & Compliance,Epic,EPT,"Owner: David Kim
Status: On Hold
Completion: 30.0%
Start Date: 2025-08-12
Deadline: 2025-10-31

Conduct security audit and ensure compliance",Security Audit & Compliance,,,Highest,On Hold,"project-tracker,on-hold",2025-10-31,,
API Gateway Implementation,Epic,EPT,"Owner: Lisa Wang
Status: Completed
Completion: 100.0%
Start Date: 2025-07-13
Deadline: 2025-10-21

Implement centralized API gateway for microservices",API Gateway Implementation,,,Highest,Done,"project-tracker,completed,high-completion",2025-10-21,,
Cloud Migration Initiative,Epic,EPT,"Owner: Sarah Johnson
Status: In Progress
Completion: 65.0%
Start Date: 2025-09-11
Deadline: 2025-12-10

Migrate legacy systems to cloud infrastructure",Cloud Migration Initiative,,,Medium,In Progress,"project-tracker,in-progress",2025-12-10,,
Mobile App Development,Epic,EPT,"Owner: Michael Chen
Status: In Progress
Completion: 80.0%
Start Date: 2025-09-26
Deadline: 2025-11-25

Build iOS and Android mobile applications",Mobile App Development,,,High,In Progress,"project-tracker,in-progress,high-completion",2025-11-25,,
Data Analytics Platform,Epic,EPT,"Owner: Emily Rodriguez
Status: In Progress
Completion: 40.0%
Start Date: 2025-10-11
Deadline: 2026-01-09

Develop analytics dashboard for business intelligence",Data Analytics Platform,,,Medium,In Progress,"project-tracker,in-progress",2026-01-09,,
Security Audit & Compliance,Epic,EPT,"Owner: David Kim
Status: On Hold
Completion: 30.0%
Start Date: 2025-08-12
Deadline: 2025-10-31

Conduct security audit and ensure compliance",Security Audit & Compliance,,,Highest,On Hold,"project-tracker,on-hold",2025-10-31,,
API Gateway Implementation,Epic,EPT,"Owner: Lisa Wang
Status: Completed
Completion: 100.0%
Start Date: 2025-07-13
Deadline: 2025-10-21

Implement centralized API gateway for microservices",API Gateway Implementation,,,Highest,Done,"project-tracker,completed,high-completion",2025-10-21,,
Cloud Migration Initiative,Epic,EPT,"Owner: Sarah Johnson
Status: In Progress
Completion: 65.0%
Start Date: 2025-09-11
Deadline: 2025-12-10

Migrate legacy systems to cloud infrastructure",Cloud Migration Initiative,,,Medium,In Progress,"project-tracker,in-progress",2025-12-10,,
Mobile App Development,Epic,EPT,"Owner: Michael Chen
Status: In Progress
Completion: 80.0%
Start Date: 2025-09-26
Deadline: 2025-11-25

Build iOS and Android mobile applications",Mobile App Development,,,High,In Progress,"project-tracker,in-progress,high-completion",2025-11-25,,
Data Analytics Platform,Epic,EPT,"Owner: Emily Rodriguez
Status: In Progress
Completion: 40.0%
Start Date: 2025-10-11
Deadline: 2026-01-09

Develop analytics dashboard for business intelligence",Data Analytics Platform,,,Medium,In Progress,"project-tracker,in-progress",2026-01-09,,
Security Audit & Compliance,Epic,EPT,"Owner: David Kim
Status: On Hold
Completion: 30.0%
Start Date: 2025-08-12
Deadline: 2025-10-31

Conduct security audit and ensure compliance",Security Audit & Compliance,,,Highest,On Hold,"project-tracker,on-hold",2025-10-31,,
API Gateway Implementation,Epic,EPT,"Owner: Lisa Wang
Status: Completed
Completion: 100.0%
Start Date: 2025-07-13
Deadline: 2025-10-21

Implement centralized API gateway for microservices",API Gateway Implementation,,,Highest,Done,"project-tracker,completed,high-completion",2025-10-21,,
Requirements Gathering,Story,EPT,"Target Date: 2025-09-26
Status: Completed

Complete requirements gathering phase
Completed: 2025-09-26",,Cloud Migration Initiative,,High,Done,"project-tracker,milestone,completed",2025-09-26,,5
Architecture Design,Story,EPT,"Target Date: 2025-10-11
Status: Completed

Complete architecture design phase
Completed: 2025-10-11",,Cloud Migration Initiative,,High,Done,"project-tracker,milestone,completed",2025-10-11,,3
Implementation,Story,EPT,"Target Date: 2025-10-26
Status: Completed

Complete implementation phase
Completed: 2025-10-26",,Cloud Migration Initiative,,High,Done,"project-tracker,milestone,completed",2025-10-26,,8
Integration,Story,EPT,"Target Date: 2025-11-10
Status: Completed

Complete integration phase
Completed: 2025-11-10",,Cloud Migration Initiative,,High,Done,"project-tracker,milestone,completed",2025-11-10,,5
Go-Live,Story,EPT,"Target Date: 2025-11-25
Status: Pending

Complete go-live phase",,Cloud Migration Initiative,,Medium,To Do,"project-tracker,milestone,pending",2025-11-25,,5
Requirements Gathering,Story,EPT,"Target Date: 2025-10-06
Status: Completed

Complete requirements gathering phase
Completed: 2025-10-06",,Mobile App Development,,High,Done,"project-tracker,milestone,completed",2025-10-06,,5
Architecture Design,Story,EPT,"Target Date: 2025-10-16
Status: Completed

Complete architecture design phase
Completed: 2025-10-16",,Mobile App Development,,High,Done,"project-tracker,milestone,completed",2025-10-16,,3
Implementation,Story,EPT,"Target Date: 2025-10-26
Status: Completed

Complete implementation phase
Completed: 2025-10-26",,Mobile App Development,,High,Done,"project-tracker,milestone,completed",2025-10-26,,8
Integration,Story,EPT,"Target Date: 2025-11-05
Status: Completed

Complete integration phase
Completed: 2025-11-05",,Mobile App Development,,High,Done,"project-tracker,milestone,completed",2025-11-05,,5
Go-Live,Story,EPT,"Target Date: 2025-11-15
Status: Pending

Complete go-live phase",,Mobile App Development,,High,To Do,"project-tracker,milestone,pending",2025-11-15,,5
Planning & Design,Story,EPT,"Target Date: 2025-10-26
Status: Completed

Complete planning & design phase
Completed: 2025-10-26",,Data Analytics Platform,,High,Done,"project-tracker,milestone,completed",2025-10-26,,3
Development Phase,Story,EPT,"Target Date: 2025-11-10
Status: Completed

Complete development phase phase
Completed: 2025-11-10",,Data Analytics Platform,,High,Done,"project-tracker,milestone,completed",2025-11-10,,8
Testing & QA,Story,EPT,"Target Date: 2025-11-25
Status: Pending

Complete testing & qa phase",,Data Analytics Platform,,Medium,To Do,"project-tracker,milestone,pending",2025-11-25,,5
Deployment,Story,EPT,"Target Date: 2025-12-10
Status: Pending

Complete deployment phase",,Data Analytics Platform,,Medium,To Do,"project-tracker,milestone,pending",2025-12-10,,3
Documentation,Story,EPT,"Target Date: 2025-12-25
Status: Pending

Complete documentation phase",,Data Analytics Platform,,Medium,To Do,"project-tracker,milestone,pending",2025-12-25,,2
