Work Item ID,Summary,Work Type,Issue Type,Project Key,Description,Epic Name,Epic Link,Parent ID,Parent,Priority,Status,Labels,Due Date,Assignee,Story Points
EPIC-1,Cloud Migration Initiative,Epic,Epic,PT,"Owner: Sarah Johnson
Status: In Progress
Completion: 65.0%
Start Date: 2025-09-11
Deadline: 2025-12-10

Migrate legacy systems to cloud infrastructure",Cloud Migration Initiative,,,,Medium,In Progress,"project-tracker,in-progress",2025-12-10,,
EPIC-2,Mobile App Development,Epic,Epic,PT,"Owner: Michael Chen
Status: In Progress
Completion: 80.0%
Start Date: 2025-09-26
Deadline: 2025-11-25

Build iOS and Android mobile applications",Mobile App Development,,,,High,In Progress,"project-tracker,in-progress,high-completion",2025-11-25,,
EPIC-3,Data Analytics Platform,Epic,Epic,PT,"Owner: Emily Rodriguez
Status: In Progress
Completion: 40.0%
Start Date: 2025-10-11
Deadline: 2026-01-09

Develop analytics dashboard for business intelligence",Data Analytics Platform,,,,Medium,In Progress,"project-tracker,in-progress",2026-01-09,,
EPIC-4,Security Audit & Compliance,Epic,Epic,PT,"Owner: David Kim
Status: On Hold
Completion: 30.0%
Start Date: 2025-08-12
Deadline: 2025-10-31

Conduct security audit and ensure compliance",Security Audit & Compliance,,,,Highest,On Hold,"project-tracker,on-hold",2025-10-31,,
EPIC-5,API Gateway Implementation,Epic,Epic,PT,"Owner: Lisa Wang
Status: Completed
Completion: 100.0%
Start Date: 2025-07-13
Deadline: 2025-10-21

Implement centralized API gateway for microservices",API Gateway Implementation,,,,Highest,Done,"project-tracker,completed,high-completion",2025-10-21,,
EPIC-6,Cloud Migration Initiative,Epic,Epic,PT,"Owner: Sarah Johnson
Status: In Progress
Completion: 65.0%
Start Date: 2025-09-11
Deadline: 2025-12-10

Migrate legacy systems to cloud infrastructure",Cloud Migration Initiative,,,,Medium,In Progress,"project-tracker,in-progress",2025-12-10,,
EPIC-7,Mobile App Development,Epic,Epic,PT,"Owner: Michael Chen
Status: In Progress
Completion: 80.0%
Start Date: 2025-09-26
Deadline: 2025-11-25

Build iOS and Android mobile applications",Mobile App Development,,,,High,In Progress,"project-tracker,in-progress,high-completion",2025-11-25,,
EPIC-8,Data Analytics Platform,Epic,Epic,PT,"Owner: Emily Rodriguez
Status: In Progress
Completion: 40.0%
Start Date: 2025-10-11
Deadline: 2026-01-09

Develop analytics dashboard for business intelligence",Data Analytics Platform,,,,Medium,In Progress,"project-tracker,in-progress",2026-01-09,,
EPIC-9,Security Audit & Compliance,Epic,Epic,PT,"Owner: David Kim
Status: On Hold
Completion: 30.0%
Start Date: 2025-08-12
Deadline: 2025-10-31

Conduct security audit and ensure compliance",Security Audit & Compliance,,,,Highest,On Hold,"project-tracker,on-hold",2025-10-31,,
EPIC-10,API Gateway Implementation,Epic,Epic,PT,"Owner: Lisa Wang
Status: Completed
Completion: 100.0%
Start Date: 2025-07-13
Deadline: 2025-10-21

Implement centralized API gateway for microservices",API Gateway Implementation,,,,Highest,Done,"project-tracker,completed,high-completion",2025-10-21,,
EPIC-11,Cloud Migration Initiative,Epic,Epic,PT,"Owner: Sarah Johnson
Status: In Progress
Completion: 65.0%
Start Date: 2025-09-11
Deadline: 2025-12-10

Migrate legacy systems to cloud infrastructure",Cloud Migration Initiative,,,,Medium,In Progress,"project-tracker,in-progress",2025-12-10,,
EPIC-12,Mobile App Development,Epic,Epic,PT,"Owner: Michael Chen
Status: In Progress
Completion: 80.0%
Start Date: 2025-09-26
Deadline: 2025-11-25

Build iOS and Android mobile applications",Mobile App Development,,,,High,In Progress,"project-tracker,in-progress,high-completion",2025-11-25,,
EPIC-13,Data Analytics Platform,Epic,Epic,PT,"Owner: Emily Rodriguez
Status: In Progress
Completion: 40.0%
Start Date: 2025-10-11
Deadline: 2026-01-09

Develop analytics dashboard for business intelligence",Data Analytics Platform,,,,Medium,In Progress,"project-tracker,in-progress",2026-01-09,,
EPIC-14,Security Audit & Compliance,Epic,Epic,PT,"Owner: David Kim
Status: On Hold
Completion: 30.0%
Start Date: 2025-08-12
Deadline: 2025-10-31

Conduct security audit and ensure compliance",Security Audit & Compliance,,,,Highest,On Hold,"project-tracker,on-hold",2025-10-31,,
EPIC-15,API Gateway Implementation,Epic,Epic,PT,"Owner: Lisa Wang
Status: Completed
Completion: 100.0%
Start Date: 2025-07-13
Deadline: 2025-10-21

Implement centralized API gateway for microservices",API Gateway Implementation,,,,Highest,Done,"project-tracker,completed,high-completion",2025-10-21,,
STORY-16,Requirements Gathering,Story,Story,PT,"Target Date: 2025-09-26
Status: Completed

Complete requirements gathering phase
Completed: 2025-09-26",,Cloud Migration Initiative,EPIC-1,,High,Done,"project-tracker,milestone,completed",2025-09-26,,5
STORY-17,Architecture Design,Story,Story,PT,"Target Date: 2025-10-11
Status: Completed

Complete architecture design phase
Completed: 2025-10-11",,Cloud Migration Initiative,EPIC-1,,High,Done,"project-tracker,milestone,completed",2025-10-11,,3
STORY-18,Implementation,Story,Story,PT,"Target Date: 2025-10-26
Status: Completed

Complete implementation phase
Completed: 2025-10-26",,Cloud Migration Initiative,EPIC-1,,High,Done,"project-tracker,milestone,completed",2025-10-26,,8
STORY-19,Integration,Story,Story,PT,"Target Date: 2025-11-10
Status: Completed

Complete integration phase
Completed: 2025-11-10",,Cloud Migration Initiative,EPIC-1,,High,Done,"project-tracker,milestone,completed",2025-11-10,,5
STORY-20,Go-Live,Story,Story,PT,"Target Date: 2025-11-25
Status: Pending

Complete go-live phase",,Cloud Migration Initiative,EPIC-1,,Medium,To Do,"project-tracker,milestone,pending",2025-11-25,,5
STORY-21,Requirements Gathering,Story,Story,PT,"Target Date: 2025-10-06
Status: Completed

Complete requirements gathering phase
Completed: 2025-10-06",,Mobile App Development,EPIC-2,,High,Done,"project-tracker,milestone,completed",2025-10-06,,5
STORY-22,Architecture Design,Story,Story,PT,"Target Date: 2025-10-16
Status: Completed

Complete architecture design phase
Completed: 2025-10-16",,Mobile App Development,EPIC-2,,High,Done,"project-tracker,milestone,completed",2025-10-16,,3
STORY-23,Implementation,Story,Story,PT,"Target Date: 2025-10-26
Status: Completed

Complete implementation phase
Completed: 2025-10-26",,Mobile App Development,EPIC-2,,High,Done,"project-tracker,milestone,completed",2025-10-26,,8
STORY-24,Integration,Story,Story,PT,"Target Date: 2025-11-05
Status: Completed

Complete integration phase
Completed: 2025-11-05",,Mobile App Development,EPIC-2,,High,Done,"project-tracker,milestone,completed",2025-11-05,,5
STORY-25,Go-Live,Story,Story,PT,"Target Date: 2025-11-15
Status: Pending

Complete go-live phase",,Mobile App Development,EPIC-2,,High,To Do,"project-tracker,milestone,pending",2025-11-15,,5
STORY-26,Planning & Design,Story,Story,PT,"Target Date: 2025-10-26
Status: Completed

Complete planning & design phase
Completed: 2025-10-26",,Data Analytics Platform,EPIC-3,,High,Done,"project-tracker,milestone,completed",2025-10-26,,3
STORY-27,Development Phase,Story,Story,PT,"Target Date: 2025-11-10
Status: Completed

Complete development phase phase
Completed: 2025-11-10",,Data Analytics Platform,EPIC-3,,High,Done,"project-tracker,milestone,completed",2025-11-10,,8
STORY-28,Testing & QA,Story,Story,PT,"Target Date: 2025-11-25
Status: Pending

Complete testing & qa phase",,Data Analytics Platform,EPIC-3,,Medium,To Do,"project-tracker,milestone,pending",2025-11-25,,5
STORY-29,Deployment,Story,Story,PT,"Target Date: 2025-12-10
Status: Pending

Complete deployment phase",,Data Analytics Platform,EPIC-3,,Medium,To Do,"project-tracker,milestone,pending",2025-12-10,,3
STORY-30,Documentation,Story,Story,PT,"Target Date: 2025-12-25
Status: Pending

Complete documentation phase",,Data Analytics Platform,EPIC-3,,Medium,To Do,"project-tracker,milestone,pending",2025-12-25,,2
STORY-31,Discovery,Story,Story,PT,"Target Date: 2025-08-28
Status: Completed

Complete discovery phase
Completed: 2025-08-28",,Security Audit & Compliance,EPIC-4,,High,Done,"project-tracker,milestone,completed",2025-08-28,,5
STORY-32,Prototype,Story,Story,PT,"Target Date: 2025-09-13
Status: Completed

Complete prototype phase
Completed: 2025-09-13",,Security Audit & Compliance,EPIC-4,,High,Done,"project-tracker,milestone,completed",2025-09-13,,5
STORY-33,Beta Release,Story,Story,PT,"Target Date: 2025-09-29
Status: Delayed

Complete beta release phase",,Security Audit & Compliance,EPIC-4,,Highest,In Progress,"project-tracker,milestone,delayed",2025-09-29,,3
STORY-34,Production Release,Story,Story,PT,"Target Date: 2025-10-15
Status: Delayed

Complete production release phase",,Security Audit & Compliance,EPIC-4,,Highest,In Progress,"project-tracker,milestone,delayed",2025-10-15,,3
STORY-35,Planning & Design,Story,Story,PT,"Target Date: 2025-07-30
Status: Completed

Complete planning & design phase
Completed: 2025-07-30",,API Gateway Implementation,EPIC-5,,High,Done,"project-tracker,milestone,completed",2025-07-30,,3
STORY-36,Development Phase,Story,Story,PT,"Target Date: 2025-08-15
Status: Completed

Complete development phase phase
Completed: 2025-08-15",,API Gateway Implementation,EPIC-5,,High,Done,"project-tracker,milestone,completed",2025-08-15,,8
STORY-37,Testing & QA,Story,Story,PT,"Target Date: 2025-09-01
Status: Completed

Complete testing & qa phase
Completed: 2025-09-01",,API Gateway Implementation,EPIC-5,,High,Done,"project-tracker,milestone,completed",2025-09-01,,5
