Milestone ID,Project ID,Project Name,Milestone Name,Description,Target Date,Completion Date,Status,Is Overdue,Is Completed,Days Until Target,Days Past Target,Created At,Updated At
1,1,Cloud Migration Initiative,Requirements Gathering,Complete requirements gathering phase,2025-09-26,2025-09-26,Completed,No,Yes,0,44,2025-11-10 06:11:04,2025-11-10 06:11:04
2,1,Cloud Migration Initiative,Architecture Design,Complete architecture design phase,2025-10-11,2025-10-11,Completed,No,Yes,0,29,2025-11-10 06:11:04,2025-11-10 06:11:04
3,1,Cloud Migration Initiative,Implementation,Complete implementation phase,2025-10-26,2025-10-26,Completed,No,Yes,0,14,2025-11-10 06:11:04,2025-11-10 06:11:04
4,1,Cloud Migration Initiative,Integration,Complete integration phase,2025-11-10,2025-11-10,Completed,No,Yes,0,0,2025-11-10 06:11:04,2025-11-10 06:11:04
5,1,Cloud Migration Initiative,Go-Live,Complete go-live phase,2025-11-25,,Pending,No,No,15,0,2025-11-10 06:11:04,2025-11-10 06:11:04
6,2,Mobile App Development,Requirements Gathering,Complete requirements gathering phase,2025-10-06,2025-10-06,Completed,No,Yes,0,34,2025-11-10 06:11:04,2025-11-10 06:11:04
7,2,Mobile App Development,Architecture Design,Complete architecture design phase,2025-10-16,2025-10-16,Completed,No,Yes,0,24,2025-11-10 06:11:04,2025-11-10 06:11:04
8,2,Mobile App Development,Implementation,Complete implementation phase,2025-10-26,2025-10-26,Completed,No,Yes,0,14,2025-11-10 06:11:04,2025-11-10 06:11:04
9,2,Mobile App Development,Integration,Complete integration phase,2025-11-05,2025-11-05,Completed,No,Yes,0,4,2025-11-10 06:11:04,2025-11-10 06:11:04
10,2,Mobile App Development,Go-Live,Complete go-live phase,2025-11-15,,Pending,No,No,5,0,2025-11-10 06:11:04,2025-11-10 06:11:04
11,3,Data Analytics Platform,Planning & Design,Complete planning & design phase,2025-10-26,2025-10-26,Completed,No,Yes,0,14,2025-11-10 06:11:04,2025-11-10 06:11:04
12,3,Data Analytics Platform,Development Phase,Complete development phase phase,2025-11-10,2025-11-10,Completed,No,Yes,0,0,2025-11-10 06:11:04,2025-11-10 06:11:04
13,3,Data Analytics Platform,Testing & QA,Complete testing & qa phase,2025-11-25,,Pending,No,No,15,0,2025-11-10 06:11:04,2025-11-10 06:11:04
14,3,Data Analytics Platform,Deployment,Complete deployment phase,2025-12-10,,Pending,No,No,30,0,2025-11-10 06:11:04,2025-11-10 06:11:04
15,3,Data Analytics Platform,Documentation,Complete documentation phase,2025-12-25,,Pending,No,No,45,0,2025-11-10 06:11:04,2025-11-10 06:11:04
16,4,Security Audit & Compliance,Discovery,Complete discovery phase,2025-08-28,2025-08-28,Completed,No,Yes,0,73,2025-11-10 06:11:04,2025-11-10 06:11:04
